,Day,Hi mean,H slope,H intercept,H SD,Lo mean,L slope,L intercept,L SD
130,131,68,0.043090367158921394,66.2162308630267,9.019996151801417,51,0.04021812762498283,49.10757349952584,6.591786775416967
131,132,69,0.04101070315675384,67.27489500067742,8.354408611666578,52,0.032048502912884,50.13494106489637,5.749344195444031
132,133,69,-0.037454274488552326,72.21419861807345,8.469488261102834,52,-0.019414713453461997,53.214469584067224,5.610780159165957
133,134,70,-0.010560899607099545,71.38572009212847,7.090229182632882,52,-0.02203630944316517,53.79325294675518,5.6657955901551444
134,135,70,0.036925890800704235,68.54477713047014,8.257345006506258,53,0.01810052838368771,52.00487738788782,5.057996968497843
135,136,70,0.03531364313778589,68.50928058528656,8.068593672800072,53,0.02571467280856206,51.81249153231272,5.095520097975331
136,137,71,0.027462403468364493,69.73242108115431,8.199853858806577,53,0.024271778891748783,52.3205527706273,5.49467560963306
137,138,71,-0.026100799349681913,73.02885787833628,8.151729184978743,53,0.0020728898523231227,53.817775369191175,5.569706037516936
138,139,70,-0.020200514835388574,72.14591518764396,9.30836141791354,54,-0.01371765343449442,55.17016664408618,5.366113962949434
139,140,72,0.02396016799891578,70.94255520932126,9.348133680354874,54,-0.002716434087522438,54.50182902045795,5.518988009602642
140,141,71,0.03269882129792693,69.79013683782686,9.277464624683784,55,0.003705459964774106,54.901639344262314,6.41946291618165
141,142,73,-0.018845684866550055,74.30429481100127,8.850308550130155,55,-0.0076209185747190804,55.87874271778894,5.5087083575548865
142,143,73,-0.004050941606828841,73.48272591789731,7.932028737328626,55,0.0024251456442214736,55.02804498035498,5.01942507655743
143,144,72,0.055649640970057805,69.55358352526761,8.931966611458497,55,0.032746240346836264,53.43191979406586,5.758297402940929
144,145,73,0.03151334507519259,71.28275301449672,9.801086407426487,56,0.03242785530415905,54.227882400758716,6.339923351206508
145,146,73,0.024075328546267084,72.24143070044711,9.410130230989756,56,0.023987264598292552,55.44506164476359,6.484841404697352
146,147,74,0.03118818588267131,72.53366752472567,9.27054341484961,56,0.022110825091450757,55.47500338707493,6.6890704819014815
147,148,74,0.024712098631621444,73.30239804904487,8.596711204069308,57,0.026439506841891246,55.71115025064355,6.8100962157901614
148,149,75,0.03246850020322417,73.47337759111232,9.011799733419608,57,0.04231811407668295,55.163392494242,6.415663940828946
149,150,76,0.04178295623899162,73.85665898929688,8.322659831247861,58,0.04886871697601922,55.20010838639751,6.767498490038412
150,151,76,0.05228288849749333,73.30930768188593,8.321608832053993,58,0.04736485571060804,56.017612789594914,6.719754193326775
151,152,76,0.0423587589757483,73.87169760195097,8.51339084568893,59,0.04678905297385152,56.58108657363502,6.552826236093916
152,153,76,0.02414984419455349,75.40224901774829,8.455433319297114,59,0.021060831865600736,58.314862484758166,6.131546931125542
153,154,76,-0.026446280991735755,78.11570247933886,7.772895621072509,59,-0.0060967348597754135,59.44844871968569,5.623739528195783
154,155,76,-0.031791085218805505,78.24630808833496,8.15429714834277,59,-0.014124102425146019,59.880503996748416,5.467988484957276
155,156,76,-0.013792169082780527,77.79447229372717,8.272377614988251,60,-0.0077970464706681435,60.87278146592603,5.7352397688860055
156,157,77,-0.03359300907736097,79.38748137108793,7.675862852045757,60,-0.00862349275166014,60.8066657634467,5.695667968624527
157,158,77,-0.020573093076819263,78.28397236146866,8.439837320380668,60,-0.0006367700853545082,60.352255791898116,5.069571082861678
158,159,78,0.05595447771304653,74.74190489093621,8.013951333640692,60,0.03190624576615599,58.48231946890667,5.626543253252057
159,160,78,0.059822517274081645,74.82387210405098,8.180942714104534,60,0.036295894865194314,58.68175044031973,6.203904395787069
160,161,78,0.04484487196856767,75.59029941742311,8.479606064450428,61,0.04370004064489861,58.69204714808293,6.0608484800001925
161,162,78,0.042805852865465094,76.13412816691508,8.095929664651624,61,0.03974393713588926,59.045115837962335,5.800612677814002
162,163,79,0.017666982793659115,78.27055954477716,7.683736536512324,61,0.0291762633789458,60.026283701395485,5.985381641000828
163,164,77,0.003251591925212948,77.5652350629996,7.707166354967337,61,0.022388565235063,60.251727408210265,5.534104131649938
164,165,77,0.0007248340333286679,77.22923723072755,8.387490685538793,61,0.01003251591925213,60.89391681343991,5.360540966081298
165,166,78,0.02637853949329319,77.28505622544372,7.97698998031247,61,0.0063338301043217885,61.380300772253094,5.417602165454796
166,167,79,0.03878200785801362,77.42514564422169,7.784900975323469,62,0.031222056631892592,60.7795691640699,5.427876723915858
167,168,79,0.02700853542880326,77.64395068418916,6.925518747166554,62,0.032190760059612376,61.0437610079935,5.462695930761287
168,169,80,0.025884026554667056,78.47175179514973,6.886536151454464,63,0.034968161495731974,61.19943097141311,5.435446360234468
169,170,79,0.03700718059883478,77.59775098225174,7.876124258373107,63,0.04253488687169751,61.290881994309714,4.998346834142282
170,171,80,0.018791491667795094,79.29399810323807,7.446198209059105,63,0.03502235469448567,61.67551822246309,4.78798427194887
171,172,80,-0.0012464435713323175,80.84338165560224,7.467440805008672,64,0.015668608589621727,63.54748679040781,5.109004636390111
172,173,81,0.01316217314726971,80.50779027232085,6.921758721716097,64,0.01895407126405596,63.76358217043762,5.408950851255239
173,174,81,0.030124644357132864,79.46524861129929,7.512212279570736,64,0.029189811678633923,63.0833220430836,5.413481793076145
174,175,81,0.024149844194552968,80.0716705053516,6.9343338703797155,64,0.03656686085896175,62.50846768730526,5.3535729939595305
175,176,82,0.008691234250101218,82.16447635821706,6.947461236369297,65,0.019028586912342143,64.48638395881319,5.102503031854333
176,177,82,0.018479880774962536,81.65153773201463,7.203037314666213,66,0.02641918439235861,64.48096463893782,5.105120855882654
177,178,82,0.0033532041728756064,82.45170031161094,7.384342380787487,65,0.015309578647879163,64.94919387616856,5.111982897663638
178,179,82,0.02660886058799617,80.84974935645575,7.153030142560959,66,0.02350629995935492,64.69706001896763,5.559978496500021
179,180,83,0.022517274082102284,81.69028586912346,6.376253725366328,66,0.030287223953393505,64.5711963148625,4.590519035335122
180,181,83,0.013101205798671876,82.73458880910448,6.112963238825231,66,0.02139953935781014,65.08792846497767,4.897503158761888
181,182,83,-0.007641241024251791,84.17748272591791,6.318258120315374,66,0.004640292643272898,66.29183037528792,4.962906484243869
182,183,83,-0.01512667660208678,84.86627828207561,6.983786812103777,67,0.0018019238585555378,67.01585151063543,5.553632816955469
183,184,83,0.010662511854761683,82.99661292507794,6.600505031182589,66,0.026175314997967276,64.99146457119633,5.425084579960437
184,185,83,0.017809239940387044,82.65871833084951,7.005949852327901,66,0.03303752879013649,64.98469042135213,5.533133356272198
185,186,83,0.01219346971954956,83.00392900690967,6.297841687225504,67,0.021582441403603717,65.70505351578377,4.96319789383149
186,187,83,0.021656957051889525,82.68405365126678,6.5485156983273445,67,0.02459693808426999,65.8630266901504,5.213050480937664
187,188,84,0.02755724156618294,82.68540848123563,6.946886255736287,67,0.019888903942554825,66.376913697331,5.019672044866729
188,189,84,0.011326378539492666,84.16339249424203,6.2835874366782045,68,0.0105608996070988,67.45725511448315,5.076087732365022
189,190,85,0.018398590976831993,84.50765478932396,5.964299205587702,68,0.013582170437609807,67.49911936052025,4.858039827357051
190,191,84,0.010581222056631288,84.01801923858558,6.9218383201305365,68,0.01403603847717104,67.93469719550197,4.960657892030359
191,192,84,0.022862755724156348,82.78525944993906,6.0621891871704925,67,0.007275436932664718,67.472564693131,4.2328083664001
192,193,84,-0.0017341823601142374,84.86438152011924,5.627351054431131,68,0.006618344397777871,67.79298198076141,4.671391744057256
193,194,84,-0.013365397642596217,85.3887007180599,5.890202913153902,68,-0.0011380571738248521,68.47324210811541,4.136380286346781
194,195,84,-0.002147405500609975,84.43462945400356,6.4470186587892595,68,0.018086980083999286,67.59246714537326,4.084962007234703
195,196,84,0.0375626608860586,82.3247527435307,6.1233869523814235,68,0.02665627963690506,66.58244140360387,4.636809247747852
196,197,85,0.0341146186153635,83.08535428803688,5.750278469721172,68,0.03618750846768707,66.53122883078174,4.814292312305049
197,198,86,0.023939845549383366,84.95203901910311,6.010230030021654,69,0.021941471345345756,67.97276791762636,4.812203266226615
198,199,86,0.04292778756266031,83.74664679582716,6.852268330065427,69,0.02841078444655156,68.15485706543829,4.768482961285079
199,200,86,0.051063541525538304,83.49817097954208,6.415985975129453,69,0.02929819807614109,68.05202547080341,4.690973689947495
200,201,85,0.0143205527706269,84.4878742717789,6.019012576552255,69,0.03590976832407513,67.43219076005961,5.165057956253739
201,202,85,0.021616312152824405,84.66169895678094,6.87434444658165,69,0.026439506841890947,67.80205934155265,4.815551025629442
202,203,84,0.03891749085489719,82.6318926974665,6.762561009333573,69,0.024488551686762897,67.92738111367025,4.758289851832231
203,204,84,0.022761143476493318,83.16325701124511,6.265080978680284,69,0.01583118818588244,68.06665763446689,4.647550378199934
204,205,84,0.0012532177211754874,84.75951768053113,6.32105886097946,69,0.003840942961658047,68.9100392900691,4.676725679938845
205,206,84,0.01593280043354525,83.04403197398727,6.409628174343137,68,0.013629589486518994,67.90123289527168,4.370780137259764
