,Day,Hi mean,H slope,H intercept,H SD,Lo mean,L slope,L intercept,L SD
30,31,30,-0.026578234599624988,32.03140495867768,10.647010074636531,14,-0.012764775331620282,14.876170798898077,12.049745165082012
31,32,31,-0.005035071879991721,31.482920110192847,10.026840729462378,14,0.0225362872421696,12.875757575757577,10.647273161251578
32,33,31,0.001951524411417356,31.267217630854017,10.782948984184161,15,0.03478019306896313,13.097245179063364,11.325833735488157
33,34,30,0.0030627126883810965,30.117768595041333,10.433945892650412,13,0.04154107924161403,11.3866391184573,10.883103729116591
34,35,30,0.021362594624626644,29.178925619834718,10.030080807670663,14,0.05634071810542401,11.28939393939394,10.702073806206972
35,36,30,0.028349190916035796,28.56322314049588,10.758815029562324,13,0.047503298840197286,11.0568870523416,10.862922315495636
36,37,30,-0.009177720675046843,31.304407713498623,10.616299370540093,14,0.006368497812348059,13.621074380165295,11.118158362703387
37,38,31,-0.049975692756441426,34.440220385674934,9.904530270939414,16,-0.008830474338495762,16.6504132231405,10.877903360142755
38,39,32,-0.011966108757552623,32.82865013774106,9.879257051416124,15,0.020796583096048347,13.854269972451794,10.518487792176865
39,40,31,-0.026276130286825565,32.58842975206613,10.094896372579027,14,-0.009726369886797686,14.970385674931132,11.197460571455466
40,41,30,-0.0035974720466699804,30.864049586776865,10.416252652836867,15,0.004569761789013145,14.778099173553723,11.499981731808656
41,42,31,-0.005097576220570964,31.519972451790647,11.100142578638637,14,0.006073338426279623,13.9969696969697,11.569879638351406
42,43,32,-0.02322036252517538,33.47327823691461,11.21148558236532,14,-0.019008264462809895,15.280991735537194,11.178197566707079
43,44,31,-0.047024098895756684,34.547933884297535,10.9898731077465,14,-0.037030349329814576,17.01997245179064,11.25187815010285
44,45,32,-0.07391832766164315,36.47314049586778,11.2078622614033,16,-0.04795124661434823,19.328099173553724,10.902904169428028
45,46,32,-0.014650322939093073,33.680027548209374,11.134997317741322,17,-0.01902215431627197,18.26515151515152,10.947493733618627
46,47,33,0.017910966039308265,32.10096418732783,11.68733663137218,15,0.049472185568442295,12.68140495867769,11.217530173495293
