,Avg Intensity,Avg Duration
1900,73.89939999999999,3.0606
1910,72.8873,3.3572
1920,71.83409999999999,3.0488000000000004
1930,75.888,3.5120000000000005
1940,76.7799,3.4888
1950,73.48479999999999,3.0133
1960,72.2835,2.8449
1970,68.6343,2.9650000000000003
1980,71.582,2.7232000000000003
1990,67.52409999999999,2.912
2000,69.53490000000001,2.9239
2010,68.2393,2.7532
